TITLE,Topic
"""Independent Belarusian Filmmakers Condemn Russian Attack on Ukraine""",War
"""UK bars stop pouring Russian vodka over Ukraine invasion""",War
"""Iggy Pop and Bring Me The Horizon cancel shows after Russian invasion of Ukraine""",War
"""British father makes it to wife and son after two-day journey to Ukraine""",War
"""Russia, Ukraine to hold second round of talks on March 2, TASS reports""",War
"""Ukraine conflict: Shares fall and oil rises as Russian attacks continue""",War
"""Ukraine conflict: Disney, Warner, Sony halt release of films in Russia""",War
"""How is the Miami skyline responding to the Ukraine-Russia war? Take a look""",War
"""‘The Batman’ yanked from Russia amid Ukraine ‘humanitarian crisis’""",War
"""A plan to pay for rebuilding Ukraine with City investments in Russia""",War
"""A plan to pay for rebuilding Ukraine with City investments in Russia""",War
"""Ukraine updates, Day 6: ‘We are sacrificing our lives for freedom,’ Zelenskyy gets standing ovation after speech to European parliament""",War
"""Russian forces advance on Ukraine's two largest cities""",War
"""Billionaire investor Carl Icahn says Russia's invasion of Ukraine isn't as big a deal for markets as inflation""",War
"""Intelligence, information warfare, cyber warfare, electronic warfare – what they are and how Russia is using them in Ukraine""",War
"""Shell severs £2.25bn links with Gazprom over Ukraine conflict""",War
"""Oil prices soar as Ukraine conflict stokes supply concerns""",War
"""Exclusive-Draft IAEA resolution on Ukraine strongly criticises Russian invasion""",War
"""Australia news LIVE: Russia-Ukraine war spills into seventh straight day of conflict as more explosions reported in Kyiv; NSW, Queensland floods worsen as Sydney braces for torrential rain""",War
"""Italy moves its embassy in Ukraine to Lviv because of deteriorating security""",War
"""Russians in Canada protest in support of Ukraine""",War
"""Maksim Chmerkovskiy: I made it on the train out of Ukraine""",War
"""Farhan Akhtar reacts to Indian student's death during Russia-Ukraine war: 'Feel terrible'""",War
"""UN scales up aid for Ukraine, appeals for $1.7 billion""",War
"""Ukraine wants its foreign debt written off""",War
"""Draft IAEA resolution on Ukraine strongly criticizes Russian invasion""",War
"""UN scales up aid for Ukraine, appeals for $1.7 bln""",War
"""Ukraine crisis: Sick children treated in hospital basement to escape shelling""",War
"""Indian student crosses Ukraine border, waits for flight home""",War
"""Russia pummels Ukraine's No. 2 city and convoy nears Kyiv""",War
"""Ukraine says it is now accepting polkadot as part of the crypto donations to fund its resistance to Russia's invasion""",War
"""Ukraine war likely to delay interest rate rises, says Man Group chief""",War
"""Benedict Cumberbatch receives star on Hollywood Walk of Fame, actor urges support for war-struck Ukraine""",War
"""Ukraine’s 20 athletes expected to make it for Paralympics""",War
"""Iran’s supreme leader criticizes U.S. over Ukraine crisis""",War
"""European Parliament accepts Ukraine's application for EU membership""",War
"""As Ukraine conflict rages, Biden seeks to unite Americans in annual speech""",War
"""Indian student killed in Ukraine shelling, thousands of foreigners trapped""",War
"""Australia news LIVE: Russia-Ukraine war spills into seventh straight day of conflict as more explosions reported in Kyiv; NSW, Queensland floods worsen as Sydney braces for torrential rain""",War
"""World Of Tanks director fired for supporting Russia against Ukraine""",War
"""As Ukraine conflict rages, Biden seeks to unite Americans in annual speech""",War
"""Ukraine-Russia conflict: Sean Penn walked 'miles' to Poland border amid documentary filming""",War
"""Russia vs Ukraine: Ministers, Onyeama, Adamu Adamu asked to resign immediately""",War
"""German coach of Lokomotiv Moscow football club resigns from role in protest against invasion of Ukraine""",War
"""Bennett: We aim to help in Russia-Ukraine crisis, but also safeguard our interests""",War
"""Prince Charles says invasion of Ukraine is ‘brutal aggression’""",War
"""Russia invasion: UK Prime Minister speaks on imposing no-fly zone over Ukraine""",War
"""Russian Industry Responds to Boycotts Over Ukraine War: Bans Are ‘Silencing the Russian Protest Voice’""",War
"""‘I will go back to Ukraine later to study medicine’""",War
"""Indian student killed in Ukraine shelling, thousands of foreigners trapped""",War
"""Russian vodka boycott begins after Ukraine invasion as drinkers look to hammer Putin""",War
"""UK’s Prince Charles says invasion of Ukraine is ‘brutal aggression’""",War
"""Factory Records founder Alan Erasmus travelling to Ukraine on humanitarian mission""",War
"""Ukraine’s Zelenskiy tells EU: ‘Prove that you are with us’""",War
"""Louis Tomlinson cancels Russia, Ukraine shows to protest against 'needless war'""",War
"""Greece backs sanctions against Russia, ready to take in Ukraine refugees -PM""",War
"""Ukraine asks China to make Russia stop war – foreign ministry""",War
"""Putin stripped of black belt over Ukraine invasion""",War
"""Plan special ops to bring students back from Ukraine: Parents as Russia bombs Kharkiv""",War
"""Adrian posts six-word message to West Ham's Yarmolenko amid Russia's invasion of Ukraine""",War
"""Agriculture industry in the country exposed to Russia/Ukraine fallout, says Agbiz""",War
"""Global food supply at risk from Russian invasion of Ukraine, Yara says""",War
"""German manager quits Moscow football club in Ukraine protest""",War
"""Prince Charles calls Ukraine invasion an ‘unconscionable’ attack on democracy""",War
"""Stocks fall as Russia Ukraine drives direction, Target jumps - Fox Business""",War
"""Surrender, get $40,000, Ukraine woos Russian soldiers""",War
"""Gold And Palladium Prices Jump On Ukraine Crisis""",War
"""Game developers are creating a charity bundle to support Ukraine""",War
"""Russia cuts off Ukraine military from the Sea of Azov -TASS""",War
"""Stocks slide on Ukraine woes, oil storms back above $100""",War
"""Here's why Ukraine is a preferred choice among Indian students for medical studies""",War
"""Russia pounds Ukraine’s 2nd-largest city as 40-mile convoy threatens Kyiv""",War
"""UK freezes assets of Belarusian army officials for ‘destabilizing’ Ukraine""",War
"""Iran's supreme leader blames U.S. 'mafia-like regime' for Russia-Ukraine conflict""",War
"""Canada’s foreign affairs minister heads to Ukraine-Poland border amid refugee crisis""",War
"""Foes over Ukraine, Russia and Western unity tested in Iran talks""",War
"""Ukraine crisis: Gulf energy exporters refuse to take sides as fears mount in Europe over Russian gas supplies""",War
"""Russia's sporting freeze grows over Ukraine invasion""",War
"""Zelenskiy Implores EU Lawmakers to Let Ukraine Join Bloc""",War
"""War in Ukraine Disrupts Ships Around the Globe""",War
"""Vigil in aid of Ukraine taking place on Saturday""",War
"""Ukraine’s Zelenskiy urges EU: ‘Do prove that you are with us’""",War
"""Indian student killed in shelling in Ukraine’s Kharkiv - The Indian Express""",War
"""Defence exhibitions: Mindef to continue monitor Russia-Ukraine conflict""",War
"""Russian column bears down on Kyiv as battle for Ukraine capital intensifies""",War
"""Russia-Ukraine war to delay LIC IPO launch? FM Nirmala Sitharaman makes big statement""",War
"""Ukraine-Russia war: CCTV shows missile strike on government building in Kharkiv""",War
"""Ukraine says Russia plans to spread fake news about Ukrainian surrender""",War
"""Russia accuses West of pushing Ukraine towards war – RIA""",War
"""Elon Musk’s Starlink satellite dishes arrive in Ukraine to deliver emergency internet""",War
"""Elon Musk’s Starlink satellite dishes arrive in Ukraine to deliver emergency internet""",War
"""Ukraine war likely to delay interest rate rises, says Man Group chief""",War
"""Top news of the day: Indian student from Karnataka killed in Kharkiv; Indian medical students in Ukraine and China stare at an uncertain future, and more""",War
"""Famed conductor who is close friends with Putin was fired from his orchestra for not condemning Ukraine invasion""",War
"""Russia-Ukraine live updates: Disney to stop releasing films in Ukraine""",War
"""Oil heads to $100 a barrel as Ukraine crisis chokes off cash lines to Russian exporters""",War
"""Exclusive-Raiffeisen looks at leaving Russia after Ukraine invasion - sources""",War
"""Balbriggan rises in solidarity with people of Ukraine with a protest against the Russian invasion""",War
"""Skerries publican rallies support for people of Ukraine in a mission of goodwill""",War
"""Professor Ben Tonra resigns position at UCD over college’s Ukraine stance""",War
"""Ukraine's U.S. Ambassador Accuses Russia Of War Crime""",War
"""Russia-Ukraine live updates – ‘No way back’ for Putin after ‘war crimes’ as 40-MILE tank column & assassins target Kyiv""",War
"""Twitter Traffic Slowdown Reinstated in Russia Over 'Fake' Ukraine Posts: Report""",War
"""Massive Russian convoy spotted outside Kyiv as Ukraine and Russia continue battling for sixth day""",War
"""Russia vs Ukraine: EU freezes assets belonging to Russian billionaire linked with Everton""",War
"""Glasgow band Franz Ferdinand cancel Russia tour dates over Ukraine invasion""",War
"""Russia-Ukraine Conflict To Impact Indian Growth: Economists""",War
"""Russia pummels Ukraine&#039;s No. 2 city Kharkiv; convoy nears Kyiv""",War
"""&quot;Prove you are with us&quot;, Ukraine president urges EU""",War
"""Ukraine’s Zelenskiy urges EU: ‘Do prove that you are with us’""",War
"""Bitcoin jumps 13% as Russia-Ukraine conflict continues and U.S. imposes further sanctions""",War
"""Ukraine war may see India#39;s import bills topping $600 billion this fiscal, pushing up inflation, CAD: Report""",War
"""Ukraine war may see India#39;s import bills topping $600 billion this fiscal, pushing up inflation, CAD: Report""",War
"""EU to seriously look at Ukraine’s ‘legitimate’ request for EU membership""",War
"""Nord Stream 2 owner considering insolvency after US sanctions over Russia invading Ukraine: Report""",War
"""Prince Charles issues blistering attack on Russia's invasion of Ukraine - statement""",War
"""Stock market news live updates: Stock futures point to lower open as Russia intensifies attacks on Ukraine""",War
"""Ukraine President Zelenskyy calls Kharkiv shelling a 'war crime'""",War
